GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3
 "06000","California",8,SQGDP2,1,"...","All industry total ","Millions of current dollars",1657292.4,1680340.0,1715935.1,1740674.1,1789641.0,1797006.6,1820211.6,1841980.7,1855811.4,1883992.9,1910858.6,1944945.1,1920582.3,1964303.1,1976074.2,1917821.8,1910813.6,1881658.2,1876005.3,1892186.4,1919069.0,1937908.1,1953261.5,2006132.2,2007608.8,2022198.7,2027032.7,2037160.0,2079759.5,2094742.1,2118154.5,2159729.7,2167627.5,2191853.4,2228668.7,2293409.9,2277808.7,2315807.3,2367246.4,2380283.6,2434212.2,2476522.9,2489391.9,2494096.5,2533323.0,2546150.8,2586282.9,2612779.4,2649399.8,2697330.3,2754033.6,2814208.6,2830221.0,2887010.8,2923407.4,2948163.4,2970816.1,3028633.1,3062616.7,3108710.4,3074465.6,2812435.1,3060840.2,3132952.5,3225265.8,3331416.0,3416146.0,3520134.9,3497723.7,3558511.9,3634821.3
 "06000","California",8,SQGDP2,2,"..."," Private industries ","Millions of current dollars",1444793.1,1467268.1,1499109.0,1523972.6,1565825.1,1573828.3,1592687.2,1611579.3,1618536.8,1643075.4,1668260.2,1695940.2,1670534.6,1711301.8,1719424.4,1659268.1,1656101.8,1627081.3,1620629.6,1639636.9,1662167.2,1679252.6,1697765.7,1746660.8,1744630.8,1759486.8,1761562.4,1775534.6,1813319.2,1831165.8,1856662.7,1892955.1,1898663.4,1919754.8,1950683.5,2011646.8,1995159.0,2029440.5,2075120.4,2083545.0,2136594.2,2171697.0,2178122.2,2183480.2,2216936.9,2229591.4,2266704.7,2295326.4,2328830.9,2375843.8,2431081.3,2486948.0,2497632.4,2552416.8,2588316.1,2604613.2,2630844.5,2684604.3,2716418.1,2753364.3,2714625.7,2463128.9,2701644.1,2776744.9,2858234.2,2962142.4,3037693.3,3140499.0,3110039.7,3166310.0,3236263.2
 "06000","California",8,SQGDP2,3,"11","   Agriculture, forestry, fishing and hunting ","Millions of current dollars",25668.3,25619.7,25334.9,24592.6,23498.0,22635.1,24476.4,26562.1,27451.5,27673.9,27956.8,30432.0,25861.1,26953.4,25971.3,23696.5,25439.7,24368.8,24420.7,25275.0,26427.2,27417.0,28467.4,30038.9,31391.7,31198.9,32655.4,33386.7,31733.8,32749.1,35212.4,35959.7,36935.8,38735.8,38911.7,35349.6,41757.8,43077.4,39201.3,37350.6,37270.4,36784.9,37295.4,37921.7,36065.8,36447.0,36713.6,37401.7,38582.2,38585.0,38729.8,38707.6,37701.1,38473.8,38649.4,38843.2,37441.1,36194.2,35353.3,34381.2,33020.6,36047.9,38270.7,40399.3,32762.5,35207.1,39188.5,46020.3,48174.4,47198.0,49436.9
 "06000","California",8,SQGDP2,6,"21","   Mining, quarrying, and oil and gas extraction ","Millions of current dollars",10399.0,12214.8,13640.2,14530.5,15537.9,17548.2,18804.7,18945.3,19620.3,21129.9,22340.7,22784.7,23052.0,27686.0,27351.9,24897.6,16858.6,18490.0,17496.6,18752.3,17869.1,15861.6,17059.9,22728.7,19461.6,21457.4,20879.4,20768.8,22396.4,20551.4,21823.4,21035.7,20912.1,20636.9,20913.0,17612.2,19258.0,18683.8,17575.8,16613.1,11035.7,10343.6,9391.7,8127.5,7333.6,7774.7,8504.7,9363.8,9492.1,10106.1,10061.0,11504.8,10492.3,10254.7,10097.1,9370.7,9151.0,9449.2,8105.0,8574.6,8137.4,5239.4,7926.2,8392.6,10029.4,10954.6,12056.5,15018.8,14825.5,17852.4,16710.1
 "06000","California",8,SQGDP2,10,"22","   Utilities ","Millions of current dollars",20771.1,19578.1,21223.5,22360.9,24366.0,25249.2,25726.0,25503.9,24297.9,25412.0,25534.6,26567.6,22945.6,25217.4,25791.2,26009.5,27538.1,26856.0,26821.1,28542.4,29224.2,27095.7,27626.7,30366.6,28318.6,30767.9,30672.3,30372.9,27731.7,29522.2,30694.9,30132.2,32061.0,30476.4,31331.4,30623.3,32297.8,31766.1,32144.5,32235.6,33630.3,31928.6,34083.7,33295.4,33530.1,32945.9,34824.6,34913.4,36590.8,38455.8,37226.0,39121.5,38414.8,39832.9,39177.5,40106.8,36869.0,40037.1,41055.3,42272.2,38185.4,40746.7,42992.4,42004.1,46336.6,43539.4,44925.9,47947.7,48207.3,55406.4,57602.4
 "06000","California",8,SQGDP2,11,"23","   Construction ","Millions of current dollars",86509.1,90754.5,94984.5,96693.2,98612.5,97410.7,97431.0,97198.0,98357.0,96931.6,94310.3,89226.8,81086.8,77925.5,74526.9,74208.9,67496.7,66013.0,64189.1,63669.8,60980.7,62390.5,61756.0,61585.7,58718.6,58307.8,59225.1,59950.7,61295.0,63301.9,65032.5,67077.8,69182.8,71928.0,74129.6,75945.7,76787.0,77623.7,79534.0,80575.0,85604.0,87176.4,89630.2,92323.4,94135.5,96065.7,97901.2,100252.3,101064.9,104264.9,107154.5,109446.7,112947.1,112387.5,114158.8,115980.9,119091.4,122340.0,123870.7,123818.1,122884.4,109160.2,116900.5,121451.7,124479.4,123753.6,122880.4,127144.4,131846.4,132416.5,135610.2
 "06000","California",8,SQGDP2,12,"31-33","   Manufacturing ","Millions of current dollars",199651.7,205670.9,213545.5,215635.0,228156.0,221963.3,219458.6,221403.7,220251.6,230258.2,238315.9,246056.6,239749.4,255263.3,264101.4,241225.2,253601.7,227577.6,223484.3,225685.0,226560.5,227422.0,221008.2,235441.9,226599.4,226610.1,227564.3,224365.8,234528.6,235027.5,244655.9,237659.2,244675.3,246010.3,252204.0,262189.4,256675.9,259221.1,273797.2,270150.4,273662.9,286485.8,282312.3,277714.4,285432.0,280310.0,286935.5,289490.4,302701.9,311670.2,321914.3,333317.2,333252.8,342426.7,354375.9,356936.0,351245.1,358497.5,360990.0,367702.6,357709.7,328495.4,366747.3,361529.7,379387.1,394008.8,391933.6,413981.4,411552.0,421313.1,424898.9
 "06000","California",8,SQGDP2,13,"321,327-339","     Durable goods manufacturing ","Millions of current dollars",122605.4,122611.9,126110.0,126160.1,136397.1,127764.3,123369.3,127257.3,127923.1,132816.2,137466.0,136813.8,130888.4,134016.9,136221.0,131667.7,131828.0,130408.2,127693.9,130165.4,129770.4,131939.0,125448.8,139526.4,138476.1,136842.0,139998.6,136630.1,141410.2,141640.6,141716.3,141349.9,144858.4,147484.6,151306.8,151414.1,150115.6,149299.7,161360.1,159080.8,164061.3,166894.5,167229.4,167586.3,173703.2,169491.9,175923.1,176960.6,187298.1,190546.2,195945.4,199246.4,203109.5,203699.1,209492.3,210401.1,207934.8,209879.1,211268.4,215406.8,214043.0,200841.3,233128.8,229758.1,241588.2,244021.4,234703.5,248450.8,249579.7,253532.4,259150.6
 "06000","California",8,SQGDP2,25,"311-316,322-326","     Nondurable goods manufacturing ","Millions of current dollars",77046.3,83059.0,87435.5,89474.9,91758.9,94199.0,96089.3,94146.4,92328.5,97442.0,100849.9,109242.8,108861.0,121246.4,127880.4,109557.5,121773.7,97169.3,95790.4,95519.6,96790.1,95483.0,95559.5,95915.4,88123.2,89768.2,87565.7,87735.7,93118.4,93386.9,102939.6,96309.4,99816.8,98525.7,100897.2,110775.3,106560.3,109921.4,112437.0,111069.6,109601.6,119591.3,115082.8,110128.1,111728.8,110818.2,111012.4,112529.7,115403.8,121124.0,125968.9,134070.8,130143.3,138727.6,144883.6,146534.9,143310.3,148618.4,149721.6,152295.9,143666.7,127654.1,133618.6,131771.6,137798.9,149987.4,157230.1,165530.6,161972.4,167780.7,165748.2
 "06000","California",8,SQGDP2,34,"42","   Wholesale trade ","Millions of current dollars",91134.0,91878.4,94288.6,95746.3,98727.3,101153.9,102692.6,105071.3,106858.0,108192.5,108598.2,109746.8,108741.2,110101.3,110861.9,107511.8,100038.2,98270.8,98285.7,100858.0,102836.2,104705.8,108580.6,110979.4,115019.9,117630.0,117757.6,120294.0,118784.5,119220.5,120848.3,122742.6,124067.8,125849.2,129787.2,133024.9,133257.8,137072.0,140992.5,145246.0,151418.0,155138.0,153287.5,148760.6,149219.1,147596.7,147187.7,147729.1,149258.5,151782.6,154691.3,161559.9,155409.9,157467.5,160947.8,165880.1,168384.2,169948.5,171627.5,171061.0,170033.2,149216.4,170146.9,172424.2,178548.4,188551.6,190826.0,196970.7,204971.5,208965.9,211868.8
 "06000","California",8,SQGDP2,35,"44-45","   Retail trade ","Millions of current dollars",118400.2,119676.4,122058.9,124676.8,126262.7,125464.2,127534.4,126505.3,124778.7,122859.9,123193.0,122412.4,115779.9,116340.6,116186.5,113041.8,109310.1,108199.4,108640.5,111753.2,111875.3,114069.3,113723.1,116078.3,116530.9,115296.1,116687.0,117044.4,121546.0,121499.2,122860.3,123978.5,128232.1,129301.3,129796.5,131898.4,129279.1,132484.7,134478.3,135540.0,138023.8,139303.8,139253.0,140546.6,141074.7,139869.2,141312.8,140465.9,143508.4,143384.6,146748.6,146071.1,148670.8,149450.9,150953.2,150286.3,149765.9,152178.8,156662.2,158483.9,158288.0,142082.9,164802.5,165007.0,173990.0,181100.7,177133.5,183222.8,181416.7,183876.0,187239.0
 "06000","California",8,SQGDP2,36,"48-49","   Transportation and warehousing ","Millions of current dollars",38670.7,39475.3,40993.5,42579.6,44789.5,45687.4,46886.9,46815.2,45608.3,45991.3,45137.5,45920.2,45010.4,45548.1,46027.7,46725.2,43636.3,42574.4,42492.3,44021.8,44455.7,46032.8,47502.1,48192.0,47510.6,48390.4,47898.4,48493.7,48115.5,48374.1,48878.6,48792.1,50294.7,50789.6,51884.9,53384.4,52173.1,54686.8,56591.2,57731.6,58327.6,60370.5,62437.4,63390.4,64764.4,66710.3,67716.5,69917.7,69153.7,70909.5,72397.8,74133.8,76456.1,77928.7,79637.4,82188.3,89107.4,89074.6,91286.1,90311.9,84467.3,66091.7,74281.6,78664.7,84352.5,90970.3,96548.4,102099.1,104738.2,109129.9,111579.3
 "06000","California",8,SQGDP2,45,"51","   Information ","Millions of current dollars",119248.2,119865.6,117577.9,122667.5,125866.8,125876.3,128662.3,127986.5,131206.4,135560.7,140219.5,141926.5,138993.5,148130.9,146597.6,134268.7,130675.1,129443.6,129350.4,134301.8,141722.9,142948.1,151532.6,153021.7,157188.5,154081.2,148542.2,147989.6,155250.1,156625.6,153626.9,150951.3,173020.8,174174.5,176693.0,209472.6,188572.6,192348.0,196596.1,193915.6,207418.8,215804.3,221974.5,233603.1,240223.1,236454.8,249316.2,248186.9,256756.3,263972.3,271208.8,279119.5,276569.2,289260.3,286113.7,281467.2,286742.8,300045.4,300869.7,309673.6,308362.6,298848.9,317917.3,326904.0,342514.8,356936.6,369339.8,379215.4,347313.3,352311.8,367088.0
 "06000","California",8,SQGDP2,51,"52","   Finance and insurance ","Millions of current dollars",93856.6,93261.0,97132.8,99346.2,101196.2,104914.3,106824.9,106982.1,101523.1,103631.1,100114.9,95847.6,92823.5,89147.4,82831.1,64447.2,87880.7,97301.5,95523.5,97477.4,99505.6,94616.5,91693.3,95738.3,96882.1,96782.0,100678.9,103564.1,109357.9,109173.4,113688.2,115448.6,108284.9,112240.6,113381.3,119606.3,116899.1,122570.3,125503.8,127212.2,129860.5,133097.1,128154.8,122808.9,125727.1,128305.5,133833.4,139867.3,136742.0,136840.2,140331.6,145751.4,146862.4,152059.4,154891.7,152324.4,154244.4,155348.0,155507.7,162911.5,162727.3,160714.2,166890.5,177681.1,184187.1,195314.3,196734.9,192513.0,184130.2,185168.0,184774.1
